Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.57,0.32558139534883723,0.5,0.39436619718309857,0.5476190476190477
Random Forest,0.74,0.75,0.10714285714285714,0.1875,0.5674603174603176
Gradient Boosting,0.7,0.4166666666666667,0.17857142857142858,0.25,0.535218253968254
XGBoost,0.74,0.5454545454545454,0.42857142857142855,0.48,0.6398809523809524
LightGBM,0.67,0.4,0.35714285714285715,0.37735849056603776,0.6135912698412699
SMOTE + Random Forest,0.65,0.3157894736842105,0.21428571428571427,0.2553191489361702,0.5466269841269842
SMOTE + XGBoost,0.67,0.38095238095238093,0.2857142857142857,0.32653061224489793,0.5669642857142857
